"","rho","sigE","cv","spprich","sdev","avg"
"1",0,0,5.65661324712783e-06,1,9.60384809646838e-05,16.9780886139684
"2",0,0.05,0.0478902634199881,1,0.8132779059351,16.9821138548104
"3",0,0.1,0.0672447166195741,1,1.14181856047287,16.9800486621503
"4",0,0.15,0.0792496591598879,1,1.34576452343607,16.9813288498939
"5",0,0.2,0.0839706763145644,2,1.42470372507026,16.9666815559892
"6",0,0.25,0.085298274543889,2,1.44394787558406,16.92821904435
"7",0,0.3,0.0862320169025933,2,1.45891442771389,16.9184773836597
"8",0,0.35,0.0907821649085759,2,1.53574491903312,16.9168131271129
"9",0,0.4,0.0966448238190455,2,1.63490176233546,16.9165993348655
"10",0,0.45,0.0972767687520051,2,1.64328783394184,16.8929113808375
"11",0,0.5,0.101316283700114,2,1.71123606284081,16.8900397877393
"12",0,0.55,0.100925341471894,2,1.70282703489495,16.8721453904534
"13",0,0.6,0.105525750321534,2,1.78070966368003,16.8746458400368
"14",0,0.65,0.104309051454795,3,1.75810914853567,16.8548090890999
"15",0,0.7,0.104974770579443,3,1.76903544818766,16.8520058526718
"16",0,0.75,0.10923562944896,3,1.84149860902196,16.8580399848604
"17",0,0.8,0.10849889516584,3,1.82675112507394,16.8365873429564
"18",0,0.85,0.108339504928967,3,1.82381419201484,16.8342489031184
"19",0,0.9,0.111863228024091,3,1.88520379425066,16.8527569564206
"20",0,0.95,0.113333618477207,3,1.90730919300324,16.8291564200505
"21",0,1,0.116706154495229,3,1.96526389468981,16.8394195078216
"22",0,1.05,0.116003176009914,3,1.95079396765304,16.8167289444414
"23",0,1.1,0.117572825925339,3,1.97765269298285,16.8206613851291
"24",0,1.15,0.119005748776964,3,2.0011494592792,16.8155696665519
"25",0,1.2,0.11962596253454,3,2.01166311904483,16.8162753003052
"26",0,1.25,0.121742378316488,3,2.04772558904442,16.8201543074922
"27",0,1.3,0.122115708297173,3,2.05240793203224,16.807075524122
"28",0,1.35,0.123355974615988,3,2.0751917698962,16.82279092161
"29",0,1.4,0.122490368806191,3,2.05691203789379,16.7924389316544
"30",0,1.45,0.123719850686799,3,2.08122559573268,16.8220829897489
"31",0,1.5,0.123778387315349,3,2.07781903331802,16.7866061142354
"32",0,1.55,0.122947767055408,3,2.06515175413345,16.7969846349692
"33",0,1.6,0.123295158021174,3,2.06845916189657,16.7764833193315
"34",0,1.65,0.124627354096395,3,2.09263869910501,16.7911668692446
"35",0,1.7,0.126691711986927,4,2.12546948024097,16.7767050180859
"36",0,1.75,0.127206854031654,3,2.13317361807204,16.7693292496741
"37",0,1.8,0.126753701807977,3,2.12478154459205,16.7630729066276
"38",0,1.85,0.128141986386341,4,2.14791883459053,16.7620223094924
"39",0,1.9,0.127461863564086,4,2.13542852259662,16.7534701194994
"40",0,1.95,0.128715005403839,4,2.15823417192622,16.7675413224342
"41",0,2,0.127423641628491,4,2.13525765900192,16.7571545728331
"42",0,2.05,0.129996025427831,4,2.17699159826931,16.7466012218804
"43",0,2.1,0.131456083371516,4,2.20436571929566,16.7688376434111
"44",0,2.15,0.130492407768549,4,2.18544273534459,16.7476619729545
"45",0,2.2,0.128307015750342,4,2.14875146690309,16.7469522561736
"46",0,2.25,0.130911583385278,4,2.19226245277461,16.7461304499137
"47",0,2.3,0.131692719908645,4,2.20392802927731,16.7353824175412
"48",0,2.35,0.13274860815505,4,2.2199422544905,16.7229041821486
"49",0,2.4,0.129925403754921,4,2.17316617044787,16.7262606668294
"50",0,2.45,0.135654819111338,4,2.27328915171466,16.7578945341328
"51",0,2.5,0.133979773977169,4,2.24393601378131,16.7483191467668
"52",0,2.55,0.13402023543109,4,2.24714199229655,16.7671843365175
"53",0,2.6,0.135744542274068,4,2.27384611632679,16.7509210921784
"54",0,2.65,0.136559859908835,4,2.28550950636724,16.7363199397906
"55",0,2.7,0.136721590614949,4,2.29071130257929,16.7545688451698
"56",0,2.75,0.135180493014977,4,2.26079220602847,16.7242488587313
"57",0,2.8,0.135525530303274,4,2.26798496985345,16.7347433710699
"58",0,2.85,0.13799267026471,4,2.31328227113006,16.7638054013485
"59",0,2.9,0.140182570682528,4,2.34654531894226,16.7392087869218
"60",0,2.95,0.14007247267068,4,2.3433056262361,16.729237240963
"61",0,3,0.14040838391272,4,2.34812353035312,16.7235279327248
